,업데이트영상,시간,시청기록,검색기록
97,,,[ASMR]앞머리 잘라드릴게요_조금 이상한 8년차 디자이너🥺_미용실 롤플레잉_Hair shop cutting roleplaying ,
98,,,"[ASMR] 무편집버전ㅣ입소리,탭핑,시각적팅글ㅣ화면에 쿠션 발라주기,마이크 브러슁 ",
99,,,"[ASMR]입소리와 스크린 브러쉬🖤 톡톡,뽀롱,간질간질 ",
100,,,"치과 asmr / lizzu’s dental 🦷 리쮸 / 핀셋소리 , 충치치료 , 스케일링 scailing / 수면유도 ",
101,,,림밤으로 화면터칭 +단어반복 asmr / 리쮸 / 팅글대박🙌🏻 ,
102,,,[ASMR]SUB. 잠오는 충치치료와 스케일링_나긋하고 친절한 의사선생님🦷 치과 롤플 _cavity treatment and scaling RP ,
103,,,"뇌신경 검사 롤플레이 / 후각 , 불빛 시각 검사 _ 리쮸 asmr (cranial nerve test) 잠오는 영상 ",
104,,,[ASMR]SUB. 쌍꺼풀 수술 롤플레잉 _ Double eyelid surgery role-playing _ 二重まぶた手術 ,
105,,,[ASMR]뭔가 이상한 눈 초점검사/안과 롤플레잉/잠오는 안구 신경 검사/리쮸 ,
106,,,"[ASMR] SUB 츤데레 친언니가 화장 해줄게_뷰러탭핑,풀메이크업_ Putting on makeup role playing 💄 ",
107,,,아로마 향으로 낮잠자기 좋은날 🌿롤링롤링 리쮸 asmr _ 잠오는소리 _ 시각적팅글 ,
108,,,"[ASMR]간질간질 단어반복과 핸드무브먼트ㅣ코,볼,속눈썹,귀 간지럽히기ㅣTickling soundㅣ리쮸🖤 ",
109,,,[ASMR]인어디블 초근접 간지럽히기🤣 간질간질 단어반복 ,
110,,,"[ASMR] 뇌신경검사 2탄 후각,청각,촉각,시각 실감나는검사_のうしんけいけんさ,cranial nerve test_리쮸 LIZZU🖤 ",
111,,,[ASMR] 콩닥콩닥 심장소리_안정되는소리Heart beat sound ,
112,,,[ASMR] 초근접 마이크 물고 입소리ㅣ뇌까지 전달되는 팅글 ,
113,,,[ASMR] 화면에서 뽑아내는듯 손짓과 입소리ㅣmouth sound coming out of the screen ,
114,,,미니마이크 💋소리 asmr 리쮸 / 초코초코 단어반복 🔮 word recitation / repeated word ,
115,,,[ASMR]배에서 이상한 소리가 나요🤒 꼬륵꾸르륵 korea upset Stomach asmr ,
116,,,초보 vs 고수 ASMRist / The Beginner Vs Master ASMRist ,
117,,,여자친구 몰래 센스 있는 선물하기 꿀팁 6가지 | 클래씨 ,
118,,,"[강남자바사물인터넷(IOT)개발학원] 세계 주류 쇼핑몰 홈페이지 개발(IT 프로젝트 포트폴리오, 국비무료교육, 강남 이젠아이티(IT)컴퓨터학원) ",
119,,,취업전선에 부는 ’코딩 열풍‘...실상은? / SBS / 후스토리 ,
120,,,"헬스 초보자에게 5x5 루틴이 왜 좋은가 ?? - [ 근비대, 근력향상 다 잡는  5x5 스트렝스 루틴 설명 ] ",
121,,,초보 vs 고수 ASMRist / The Beginner Vs Master ASMRist ,
122,,,팅글주의! 내가 엄선한 트리거 사운드 ASMR / This Is My Favorite Triggers ASMR For YOU! ,
123,,,정신없는사람 VS 차분한사람...  / Friends ASMR ,
124,,,100% 수면보장 빠져드는 입소리 / You Will Fall Asleep To this MOUTH SOUNDS ASMR ,
125,,,Washing You💧 ASMR ,
126,,,The Departed deleted scene - Delahunt a cop or not? ,
127,,,if Apple made Window Blinds ,
128,,,브리타 정수 능력 검증 실험 ,
129,,,외국놈들이 밥버거랑 처음 만났을 때 벌어진 일?! 외국놈들의 그랜드한 한국 일주 시리즈 2편!! ,
130,,,"코딩 1도 모르던 문과생이 개발자 된 썰 | 취업 전후로 알았으면 좋았을 것들 |해외취업|  좋아하는 일 vs 잘하는 일 | 부트캠프 vs 국비지원 | 개발 적성, 취준생, 직장인 ",
131,,,"3년 간 매출 0원, 지금은 매년 떡상중 📈 ",
132,,,"Work & Study Lofi Jazz - Relaxing Smooth Background Jazz Music for Work, Study, Focus, Coding ",
133,,,고수의 ASMR 화상교육 롤플레이/ PRO ASMRTIST teaches ASMR to Beginner RP (video chat ver.) ,
134,,,ASMR 무슨소리일까? / Let's Guess the ASMR Triggers ,
135,,,"귀 마사지 No talking ASMR | 맨손, 로션 귀, 라텍스장갑 | Ear Massage  | Lotion ear massage | Latex gloves massage ",
136,,,공부할 때 듣는 가사 없는 애니 OST 🎹 【𝐦𝐨𝐭𝐞𝐦𝐨𝐭𝐞｜𝐩𝐥𝐚𝐲𝐥𝐢𝐬𝐭｜모트모트｜플레이리스트】 ,
137,,,공부할때 듣는 조용한 빗소리와 재즈 피아노 BGM soft rain jazz piano play ⎮ relax study to ,
138,,,온라인으로 주문한 딸기가 3시간 만에 우리 집까지 올 수 있는 이유 ,
139,,,"Work & Study Lofi Jazz - Relaxing Smooth Background Jazz Music for Work, Study, Focus, Coding ",
140,,,월급노예 탈출 시켜준 1권의 책 ,
141,,,"누적투자 2000억, 세계 1위 채팅 솔루션 기업 센드버드 창업기 | 센드버드 대표 김동신 [리얼밸리 시즌2 EP 17] ",
142,,,스타트업 서바이벌 오디션 🦄유니콘하우스 참가자 모집 ,
143,,,영국 고등학생들에게 불닭볶음면을 줘봤더니…?ㅎ🔥🥵 얘들아 미안…;;🚽 ,
144,,,인도여행 포기합니다.. 새벽에 비행기표 사고 긴급 귀국합니다.. l 인도#4 ,
145,,,말도 안되는 인도의 문화.. 문화 충격을 느껴서 속이 울렁거린다.. 진짜 집에 가야겠다 l 인도#3 ,
