,Unnamed: 0,업데이트영상,시간,시청기록,검색기록,키워드,추천영상,url
40,40,,,That Second Kiss ,"7 HOUR STUDY WITH ME | Background noise, Rain Sound, 10-min Break, No music, Study with Merve ",시리즈,,
41,41,,,3-Hour Study With Me [Quiet Study Music 🎵/ Campfire 🔥 / Ocean 🌊] 50/10 Pomodoro ,"전세계 32개국 교복 모음 (한국, 중국, 미국 등) ",•,,
42,42,,,4-Hour Study With Me [Muted Classical Piano Music + Fireplace] Pomodoro 50/10 ,"ASMR RAINBOW DESSERTS 무지개 먹방 팝핑보바, 보석젤리, 별사탕 먹방 POPPING BOBA, JELLY, GUMMY MUKBANG NO TALKING EATING ",액괴,,
43,43,,,Keep Calm and Study 📚 Ambient Lofi Jazz Music for Studying 🪴  [24/7 Live] ,미국 회사에서 자주 쓰는 비즈니스 영어 표현 50개! (구슬쌤 영상 총정리 3탄) ,시리즈액괴,,
44,44,,,"Chill Music Radio — Productive Vibe — Work, Study Mix ","미국 델타포스, 독일 GSG, 영국 SAS 등 전세계 특수부대가 벤치마킹하는 한국의 특수부대::그들의 존재는 2급 비밀 ",아베,,
45,45,,,3 AM Coding Session - Lofi Hip Hop Mix [Study & Coding Beats] ,"[해외반응]영국 G7 한국 공식 초청 일본네티즌 ""웃기고 있네"" ",엄마들,,
46,46,,,Motivation Playlist — Energetic Chillstep Music — Make Money Mix ,[머니올라 315화] 비대면 대출이 너무 쉬운 한국...왜 위험한가?(서영수 이사) ,포대,,
47,47,,,lofi beats to make money to / shopi-fi ,※런던 현지인 반응※ 런던 길거리를 토트넘 손흥민이 걸어다닌다면? (역시 월클⭐️)ㅣ ,고수,,
48,48,,,Evening Study With Me [3 HOURS] Quiet Focus Music ,회사에서 재미를 추구하면 안 되는 걸까 | 네이버웹툰 개발자 채용설명회 ,초보,,
49,49,,,Programming / Coding / Hacking music vol.19 (EASY THOUGHTS) ,[FULL VER.] 한국인이 이번 미국 대선에 주목해야 하는 이유 |  ,수호신,,
50,50,,,Programming * Hacker * Coding - Music Mix 2021 ,오타니 vs 다르빗슈 맞대결 드디어 성사 가능성은  ,근육,,
51,51,,,Lofi Coding Beats | Free Copyrights | Millennials Melody Originals ,"디지몬마스터즈 디마 ""그냥 신... 알파몬왕룡검X 각성 리뷰!!"" 말이 필요없습니다... 경이롭습니다... ",,,
52,52,,,Programming / Coding / Hacking music vol.16 (CONNECTION LOST) ,[경제 완전정복] 반도체 압력…미국의 속내와 우리의 대응은? (2021.04.13/뉴스외전/MBC) ,,,
53,53,,,"Work & Study Lofi Jazz - Relaxing Smooth Background Jazz Music for Work, Study, Focus, Coding ",범죄도시 마동석을 본 실제 강력계 형사 반응은? (ft.진실의 방 원조) ,,,
54,54,,,"Coffee Rain: Relaxing Jazz Music with Coffee Shop Ambience - Chill Music for Study, Work ",불곰국 시리즈를 본 러시아인 반응 ,,,
55,55,,,Galaxy Coding Session - Lofi Hip Hop Mix [Study & Coding Beats] ,"[🇺🇸🇯🇵]자연스럽게 눈2배✨커지는 사방트임 메이크업👀 눈 성형메이크업/앞,윗,뒷트임 하는 법/ ",,,
56,56,,,"Chillout Lounge - Calm & Relaxing Background Music | Study, Work, Sleep, Meditation, Chill ","경진일주, 일주론 사주강의 제17강 ",,,
57,57,,,Chillstep Music for Programming / Cyber / Coding ,한국의 괴물 팝핀댄서를 보고 기가죽은 프랑스 팝핀댄서!네덜란드 팝핀배틀대회장이 난리가 남!(팝핀호안VS프랭키VS소울빈)소마의리뷰리액션! ,,,
58,58,,,Traveling Mood Jazz - Relaxing Jazz playing on the Alley & Quarantine Music ,[해외통신] 한국은 전 세계적인 모델로서의 권위를 이어나가고 - 영국 방송 제목도  내용도 반응도 진하네요 ,,,
59,59,,,Happy Jazz on Coffee Shop Ambience - Relaxing Jazz Music and Bossa Nova for Good Mood ,ASMR 한국어 | 빠른 에너지로(?) 빠른 탭핑  ,,,
60,60,,,❄️ Winter Snow Coding in Chicago | 🎧 Lofi Hip-Hop Motivation ,한국영국 혼혈 ,,,
61,61,,,Chill Coding Session - Lofi Hip Hop Mix [Study & Coding Beats] ,[백브리핑] 경운기 부대의 '머드맥스'…한국관광공사 영상 또 터졌다 / JTBC 뉴스룸 ,,,
62,62,,,A.I. Coding in Chicago | 🎧 LoFi Hip-Hop [Code - Relax - Study] ,한국 쮸쮸바를 처음 보고 깜짝 놀란 미국 부모님 반응 ㅋㅋ ,,,
63,63,,,🌙 Midnight Coding in Chicago | LoFi Jazz Hip-Hop [Code - Relax - Study] ,평소 한국 차를 무시하고 소개 했던 해외 채널이 한국의 신차를 보고 극찬 한 이유(해외반응) ,,,
64,64,,,🍁Autumn Morning Coding in Chicago | LoFi Jazz Hip-Hop [Code - Relax - Study] ,한국인이 우크라이나 미녀에게 고백했을때 엄청난 반응ㄷㄷ ,,,
65,65,,,📚2-HOUR LATE NIGHT STUDY / gentle rain🌧 + lofi music  / 50 minute Pomodoro / with timer+bell ,문학소녀 ㅣ 오디오북 ㅣ 80일간의 세계 일주(Around the World in 80 Days) ㅣ 장편소설 ㅣ 문학소설 ㅣ 완독판 ,,,
66,66,,,2 AM Coding Session - Lofi Hip Hop Mix [Study & Coding Beats] ,"트리거 포인트...? 만성 통증 원인, 알기 쉽게 빵으로 설명해 드립니다! | 나는 몸신이다 292 회 ",,,
67,67,,,4-HOUR STUDY WITH ME🗼 / calm lofi music / 🏕️Cracking Fire / Tokyo at LATE NIGHT / with timer+bell ,👭친구한테 유튜브 하는거 들켰을 때 유형💥 / 시리즈 액괴 시리즈액괴 시액 액괴시리즈 액시 슬라임 대규모시리즈 유형 시루 ,,,
68,68,,,Coding in Chicago v2.0 | 🎧 24/7 LoFi Hip-Hop Radio ,한국 워터파크를 처음 가본 영국 신부님 크리스!! ,,,
